scenario_id,disease,disease_label,split,metric,contrast,difference
AF-020,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,2.0
AF-020,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-021,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,0.0
AF-021,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-021,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-021,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-022,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,1.0
AF-022,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-022,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,2.0
AF-022,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,1.0
AF-023,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C1,1.0
AF-023,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C3,1.0
AF-023,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C1,3.0
AF-023,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C3,0.0
AF-024,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,2.0
AF-024,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-024,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-024,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-025,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,1.0
AF-025,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,1.0
AF-025,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-025,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-026,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,0.0
AF-026,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,-1.0
AF-026,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-026,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-027,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C1,1.0
AF-027,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C3,0.0
AF-027,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C1,3.0
AF-027,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C3,1.0
AF-028,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,0.0
AF-028,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-028,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-028,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,2.0
AF-029,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,1.0
AF-029,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-029,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-029,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-030,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,1.0
AF-030,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-030,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-030,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-031,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,2.0
AF-031,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,1.0
AF-031,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-031,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-032,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C1,0.0
AF-032,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C3,0.0
AF-032,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C1,0.0
AF-032,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C3,0.0
AF-033,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,0.0
AF-033,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-033,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-033,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-034,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,1.0
AF-034,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-034,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-034,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-035,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,0.0
AF-035,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-035,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,0.0
AF-035,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-036,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,0.0
AF-036,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-036,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,0.0
AF-036,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-037,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C1,0.0
AF-037,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C3,0.0
AF-037,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C1,0.0
AF-037,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C3,0.0
AF-038,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C1,0.0
AF-038,AF,Atrial fibrillation,held_out_synthetic,guideline_concordance,C4 minus C3,0.0
AF-038,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C1,3.0
AF-038,AF,Atrial fibrillation,held_out_synthetic,citation_correctness,C4 minus C3,0.0
AF-039,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,0.0
AF-039,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,1.0
AF-039,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,3.0
AF-039,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
AF-040,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C1,0.0
AF-040,AF,Atrial fibrillation,development,guideline_concordance,C4 minus C3,0.0
AF-040,AF,Atrial fibrillation,development,citation_correctness,C4 minus C1,0.0
AF-040,AF,Atrial fibrillation,development,citation_correctness,C4 minus C3,0.0
CAD-001,CAD,Coronary artery disease,development,guideline_concordance,C4 minus C1,2.0
CAD-001,CAD,Coronary artery disease,development,guideline_concordance,C4 minus C3,1.0
CAD-001,CAD,Coronary artery disease,development,citation_correctness,C4 minus C1,3.0
CAD-001,CAD,Coronary artery disease,development,citation_correctness,C4 minus C3,0.0
CAD-002,CAD,Coronary artery disease,development,guideline_concordance,C4 minus C1,1.0
CAD-002,CAD,Coronary artery disease,development,guideline_concordance,C4 minus C3,0.0
CAD-002,CAD,Coronary artery disease,development,citation_correctness,C4 minus C1,3.0
CAD-002,CAD,Coronary artery disease,development,citation_correctness,C4 minus C3,0.0
CAD-003,CAD,Coronary artery disease,development,guideline_concordance,C4 minus C1,2.0
CAD-003,CAD,Coronary artery disease,development,guideline_concordance,C4 minus C3,-1.0
